사고다발지역시도시군구,위도,경도,사고다발지역폴리곤정보
서울특별시 도봉구1,37.670984,127.044571,"POLYGON ((127.04636774 37.67098378, 127.04633322 37.67070634, 127.04623098 37.67043957, 127.04606495 37.67019371, 127.04584152 37.6699782, 127.04556926 37.66980135, 127.04525865 37.66966993, 127.04492161 37.669589, 127.04457111 37.66956168, 127.0442206 37.669589, 127.04388357 37.66966993, 127.04357295 37.66980135, 127.0433007 37.6699782, 127.04307726 37.67019371, 127.04291124 37.67043957, 127.042809 37.67070634, 127.04277448 37.67098378, 127.042809 37.67126122, 127.04291124 37.67152799, 127.04307726 37.67177385, 127.0433007 37.67198935, 127.04357295 37.6721662, 127.04388357 37.67229761, 127.0442206 37.67237854, 127.04457111 37.67240586, 127.04492161 37.67237854, 127.04525865 37.67229761, 127.04556926 37.6721662, 127.04584152 37.67198935, 127.04606495 37.67177385, 127.04623098 37.67152799, 127.04633322 37.67126122, 127.04636774 37.67098378))"
서울특별시 도봉구2,37.680646,127.050529,"POLYGON ((127.05232531 37.68064601, 127.05229079 37.68036861, 127.05218855 37.68010187, 127.05202252 37.67985604, 127.05179909 37.67964057, 127.05152683 37.67946373, 127.05121622 37.67933233, 127.05087918 37.67925141, 127.05052868 37.67922409, 127.05017817 37.67925141, 127.04984114 37.67933233, 127.04953053 37.67946373, 127.04925827 37.67964057, 127.04903484 37.67985604, 127.04886881 37.68010187, 127.04876657 37.68036861, 127.04873205 37.68064601, 127.04876657 37.68092341, 127.04886881 37.68119015, 127.04903484 37.68143598, 127.04925827 37.68165145, 127.04953053 37.68182828, 127.04984114 37.68195967, 127.05017817 37.68204059, 127.05052868 37.68206791, 127.05087918 37.68204059, 127.05121622 37.68195967, 127.05152683 37.68182828, 127.05179909 37.68165145, 127.05202252 37.68143598, 127.05218855 37.68119015, 127.05229079 37.68092341, 127.05232531 37.68064601))"
서울특별시 도봉구3,37.654305,127.037866,"POLYGON ((127.03966225 37.65430517, 127.03962773 37.65402767, 127.03952549 37.65376084, 127.03935947 37.65351492, 127.03913603 37.65329937, 127.03886378 37.65312247, 127.03855316 37.65299102, 127.03821613 37.65291008, 127.03786562 37.65288275, 127.03751512 37.65291008, 127.03717808 37.65299102, 127.03686747 37.65312247, 127.03659521 37.65329937, 127.03637178 37.65351492, 127.03620575 37.65376084, 127.03610351 37.65402767, 127.03606899 37.65430517, 127.03610351 37.65458267, 127.03620575 37.6548495, 127.03637178 37.65509542, 127.03659521 37.65531096, 127.03686747 37.65548786, 127.03717808 37.6556193, 127.03751512 37.65570024, 127.03786562 37.65572757, 127.03821613 37.65570024, 127.03855316 37.6556193, 127.03886378 37.65548786, 127.03913603 37.65531096, 127.03935947 37.65509542, 127.03952549 37.6548495, 127.03962773 37.65458267, 127.03966225 37.65430517))"
서울특별시 도봉구4,37.657176,127.039627,"POLYGON ((127.0414237 37.65717568, 127.04138918 37.65689819, 127.04128694 37.65663136, 127.04112091 37.65638545, 127.04089748 37.65616991, 127.04062522 37.65599302, 127.04031461 37.65586158, 127.03997757 37.65578064, 127.03962707 37.65575331, 127.03927656 37.65578064, 127.03893953 37.65586158, 127.03862891 37.65599302, 127.03835666 37.65616991, 127.03813322 37.65638545, 127.0379672 37.65663136, 127.03786496 37.65689819, 127.03783044 37.65717568, 127.03786496 37.65745317, 127.0379672 37.65771999, 127.03813322 37.65796589, 127.03835666 37.65818143, 127.03862891 37.65835831, 127.03893953 37.65848975, 127.03927656 37.65857069, 127.03962707 37.65859802, 127.03997757 37.65857069, 127.04031461 37.65848975, 127.04062522 37.65835831, 127.04089748 37.65818143, 127.04112091 37.65796589, 127.04128694 37.65771999, 127.04138918 37.65745317, 127.0414237 37.65717568))"
서울특별시 도봉구5,37.651465,127.0516,"POLYGON ((127.05339682 37.65146489, 127.0533623 37.65118738, 127.05326006 37.65092053, 127.05309403 37.65067461, 127.0528706 37.65045905, 127.05259834 37.65028214, 127.05228773 37.65015069, 127.05195069 37.65006974, 127.05160019 37.65004241, 127.05124968 37.65006974, 127.05091265 37.65015069, 127.05060203 37.65028214, 127.05032978 37.65045905, 127.05010634 37.65067461, 127.04994032 37.65092053, 127.04983808 37.65118738, 127.04980356 37.65146489, 127.04983808 37.6517424, 127.04994032 37.65200924, 127.05010634 37.65225517, 127.05032978 37.65247072, 127.05060203 37.65264762, 127.05091265 37.65277907, 127.05124968 37.65286001, 127.05160019 37.65288734, 127.05195069 37.65286001, 127.05228773 37.65277907, 127.05259834 37.65264762, 127.0528706 37.65247072, 127.05309403 37.65225517, 127.05326006 37.65200924, 127.0533623 37.6517424, 127.05339682 37.65146489))"
서울특별시 노원구1,37.617383,127.075476,"POLYGON ((127.07727237 37.61738344, 127.07723785 37.6171058, 127.07713561 37.61683883, 127.07696959 37.61659279, 127.07674615 37.61637713, 127.0764739 37.61620015, 127.07616328 37.61606864, 127.07582625 37.61598765, 127.07547574 37.61596031, 127.07512524 37.61598765, 127.0747882 37.61606864, 127.07447759 37.61620015, 127.07420533 37.61637713, 127.0739819 37.61659279, 127.07381587 37.61683883, 127.07371363 37.6171058, 127.07367911 37.61738344, 127.07371363 37.61766107, 127.07381587 37.61792804, 127.0739819 37.61817408, 127.07420533 37.61838973, 127.07447759 37.61856671, 127.0747882 37.61869822, 127.07512524 37.6187792, 127.07547574 37.61880654, 127.07582625 37.6187792, 127.07616328 37.61869822, 127.0764739 37.61856671, 127.07674615 37.61838973, 127.07696959 37.61817408, 127.07713561 37.61792804, 127.07723785 37.61766107, 127.07727237 37.61738344))"
서울특별시 노원구2,37.654371,127.061426,"POLYGON ((127.06322286 37.65437137, 127.06318834 37.65409387, 127.0630861 37.65382703, 127.06292007 37.65358111, 127.06269664 37.65336557, 127.06242438 37.65318867, 127.06211377 37.65305722, 127.06177673 37.65297628, 127.06142623 37.65294894, 127.06107572 37.65297628, 127.06073869 37.65305722, 127.06042807 37.65318867, 127.06015582 37.65336557, 127.05993238 37.65358111, 127.05976636 37.65382703, 127.05966412 37.65409387, 127.0596296 37.65437137, 127.05966412 37.65464887, 127.05976636 37.6549157, 127.05993238 37.65516161, 127.06015582 37.65537716, 127.06042807 37.65555405, 127.06073869 37.65568549, 127.06107572 37.65576643, 127.06142623 37.65579377, 127.06177673 37.65576643, 127.06211377 37.65568549, 127.06242438 37.65555405, 127.06269664 37.65537716, 127.06292007 37.65516161, 127.0630861 37.6549157, 127.06318834 37.65464887, 127.06322286 37.65437137))"
서울특별시 노원구3,37.659368,127.064954,"POLYGON ((127.06675014 37.65936835, 127.06671562 37.65909087, 127.06661338 37.65882405, 127.06644736 37.65857815, 127.06622392 37.65836261, 127.06595167 37.65818572, 127.06564105 37.65805429, 127.06530402 37.65797335, 127.06495351 37.65794602, 127.06460301 37.65797335, 127.06426597 37.65805429, 127.06395536 37.65818572, 127.0636831 37.65836261, 127.06345967 37.65857815, 127.06329364 37.65882405, 127.0631914 37.65909087, 127.06315688 37.65936835, 127.0631914 37.65964583, 127.06329364 37.65991264, 127.06345967 37.66015854, 127.0636831 37.66037407, 127.06395536 37.66055095, 127.06426597 37.66068238, 127.06460301 37.66076332, 127.06495351 37.66079065, 127.06530402 37.66076332, 127.06564105 37.66068238, 127.06595167 37.66055095, 127.06622392 37.66037407, 127.06644736 37.66015854, 127.06661338 37.65991264, 127.06671562 37.65964583, 127.06675014 37.65936835))"
서울특별시 노원구4,37.660973,127.061458,"POLYGON ((127.06325465 37.66097283, 127.06322012 37.66069536, 127.06311789 37.66042854, 127.06295186 37.66018265, 127.06272843 37.65996712, 127.06245617 37.65979024, 127.06214556 37.6596588, 127.06180852 37.65957786, 127.06145802 37.65955053, 127.06110751 37.65957786, 127.06077047 37.6596588, 127.06045986 37.65979024, 127.06018761 37.65996712, 127.05996417 37.66018265, 127.05979815 37.66042854, 127.05969591 37.66069536, 127.05966139 37.66097283, 127.05969591 37.6612503, 127.05979815 37.66151711, 127.05996417 37.66176301, 127.06018761 37.66197853, 127.06045986 37.66215541, 127.06077047 37.66228684, 127.06110751 37.66236777, 127.06145802 37.6623951, 127.06180852 37.66236777, 127.06214556 37.66228684, 127.06245617 37.66215541, 127.06272843 37.66197853, 127.06295186 37.66176301, 127.06311789 37.66151711, 127.06322012 37.6612503, 127.06325465 37.66097283))"
서울특별시 노원구5,37.641727,127.072458,"POLYGON ((127.07425483 37.64172676, 127.07422031 37.64144921, 127.07411807 37.64118233, 127.07395204 37.64093637, 127.07372861 37.64072079, 127.07345635 37.64054386, 127.07314574 37.64041239, 127.0728087 37.64033143, 127.0724582 37.64030409, 127.07210769 37.64033143, 127.07177066 37.64041239, 127.07146004 37.64054386, 127.07118779 37.64072079, 127.07096435 37.64093637, 127.07079833 37.64118233, 127.07069609 37.64144921, 127.07066157 37.64172676, 127.07069609 37.64200431, 127.07079833 37.64227118, 127.07096435 37.64251714, 127.07118779 37.64273272, 127.07146004 37.64290964, 127.07177066 37.64304111, 127.07210769 37.64312207, 127.0724582 37.6431494, 127.0728087 37.64312207, 127.07314574 37.64304111, 127.07345635 37.64290964, 127.07372861 37.64273272, 127.07395204 37.64251714, 127.07411807 37.64227118, 127.07422031 37.64200431, 127.07425483 37.64172676))"
